trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.001, 'e': 0.9992539711661633}",20,0,-49.70693309725245,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.001, 'e': 0.9992287039377128}",20,0,-66.14888241491676,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.001, 'e': 0.9992025816171715}",20,0,-78.61703285250678,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
87,False,"{'a': 0.001, 'e': 0.9991755753136017}",20,10,-16.57039150007619,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.001, 'e': 0.99914765516317}",20,0,-126.8164262928443,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
89,False,"{'a': 0.001, 'e': 0.9991187902966077}",20,0,-155.22526035581126,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
90,False,"{'a': 0.001, 'e': 0.9990889488055994}",35,5,-82.21457524344989,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",1
91,False,"{'a': 0.001, 'e': 0.9990580977080643}",20,0,-286.0218173762448,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 6}",0
92,False,"{'a': 0.001, 'e': 0.9990262029122943}",20,0,-174.6323396815091,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
93,False,"{'a': 0.001, 'e': 0.9989932291799144}",20,0,-104.80726698261043,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
94,False,"{'a': 0.001, 'e': 0.9989591400876253}",25,0,-106.88768359120871,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
95,False,"{'a': 0.001, 'e': 0.9989238979876923}",20,0,-113.94928662740608,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
96,False,"{'a': 0.001, 'e': 0.9988874639671398}",30,0,-31.44051897732902,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.001, 'e': 0.9988497978056079}",25,0,-154.4574320335183,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
98,False,"{'a': 0.001, 'e': 0.9988108579318364}",35,0,-160.9800698030966,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
99,False,"{'a': 0.001, 'e': 0.9987706013787226}",25,0,-110.23320059414735,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.9987289837369187}",30,1,-138.98883010270987,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 1}",1
101,False,"{'a': 0.001, 'e': 0.9986859591069157}",20,0,-58.63926263993981,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
102,False,"{'a': 0.001, 'e': 0.9986414800495711}",20,0,-129.35205301395777,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
103,False,"{'a': 0.001, 'e': 0.9985954975350299}",20,0,-218.4540472494943,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
104,False,"{'a': 0.001, 'e': 0.9985479608899902}",20,0,-16.388474426306423,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
105,False,"{'a': 0.001, 'e': 0.998498817743263}",20,0,-242.44565069318523,"{0: 9, 1: 1, 2: 3, 3: 3, 4: 4}",0
106,False,"{'a': 0.001, 'e': 0.9984480139695726}",25,0,-116.61583215995107,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
107,False,"{'a': 0.001, 'e': 0.9983954936315445}",20,0,-76.0877192728087,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
108,False,"{'a': 0.001, 'e': 0.9983411989198255}",30,0,-121.42075036331991,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
109,False,"{'a': 0.001, 'e': 0.9982850700912811}",20,7,-66.38272814578688,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
110,False,"{'a': 0.001, 'e': 0.9982270454052078}",20,2,-36.2249766399264,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
111,False,"{'a': 0.001, 'e': 0.9981670610575072}",25,0,-167.13898539858172,"{0: 10, 1: 1, 2: 11, 3: 3, 4: 0}",0
112,False,"{'a': 0.001, 'e': 0.9981050511127537}",20,0,-46.77244157286925,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
113,False,"{'a': 0.001, 'e': 0.9980409474340998}",20,0,-82.29345476885973,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
114,False,"{'a': 0.001, 'e': 0.9979746796109501}",20,0,-142.270001898365,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
115,False,"{'a': 0.001, 'e': 0.9979061748843411}",20,0,-159.30213063483308,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
116,False,"{'a': 0.001, 'e': 0.9978353580699584}",20,0,-180.85175868872955,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 4}",0
117,False,"{'a': 0.001, 'e': 0.9977621514787236}",20,0,-83.53263158959626,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
118,False,"{'a': 0.001, 'e': 0.9976864748348797}",35,0,-283.746767288478,"{0: 17, 1: 4, 2: 8, 3: 2, 4: 4}",0
119,False,"{'a': 0.001, 'e': 0.9976082451915019}",20,0,-132.218802795739,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
120,False,"{'a': 0.001, 'e': 0.9975273768433653}",25,0,-100.11135371534844,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
121,False,"{'a': 0.001, 'e': 0.9974437812370868}",25,0,-147.6328545834144,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
122,False,"{'a': 0.001, 'e': 0.9973573668784731}",25,0,-149.64749753174908,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
123,False,"{'a': 0.001, 'e': 0.997268039236989}",25,8,-99.34549680022803,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 2}",1
124,False,"{'a': 0.001, 'e': 0.9971757006472715}",20,0,-29.562303420716137,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
125,False,"{'a': 0.001, 'e': 0.9970802502076079}",20,0,-32.71960740839916,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.001, 'e': 0.9969815836752917}",25,0,-220.24881802212772,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
127,False,"{'a': 0.001, 'e': 0.9968795933587773}",25,0,-56.818075727553236,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.001, 'e': 0.9967741680065444}",20,0,-74.2826684324135,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
129,False,"{'a': 0.001, 'e': 0.9966651926925867}",20,0,-139.16439193479363,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
130,False,"{'a': 0.001, 'e': 0.9965525486984363}",25,0,-100.3703377648372,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
131,False,"{'a': 0.001, 'e': 0.9964361133916357}",30,0,-124.32415896417031,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
132,False,"{'a': 0.001, 'e': 0.9963157601005641}",25,0,-113.85490364072928,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
133,False,"{'a': 0.001, 'e': 0.9961913579855292}",25,0,-125.93544182955031,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
